City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hobart,AU,2022-03-10 11:20:57,-42.8794,147.3294,57.06,68,75,11.5
68,Regina,CA,2022-03-10 11:20:00,50.4501,-104.6178,-0.4,79,75,10.36
69,Kodiak,US,2022-03-10 11:12:24,57.79,-152.4072,38.71,100,100,10.36
70,Hilo,US,2022-03-10 11:16:12,19.7297,-155.09,72.63,87,75,4.61
71,Nalut,LY,2022-03-10 11:20:58,30.3333,10.85,58.95,33,32,7.27
72,Paris,FR,2022-03-10 11:19:39,48.8534,2.3488,60.87,58,0,10.36
73,Bandarbeyla,SO,2022-03-10 11:20:59,9.4942,50.8122,80.62,58,82,12.84
74,Svetlogorsk,BY,2022-03-10 11:20:59,52.6333,29.7333,23.88,43,18,14.16
75,Saint-Pierre,RE,2022-03-10 11:16:13,-21.3393,55.4781,87.48,69,75,21.85
76,Doha,QA,2022-03-10 11:19:35,25.2867,51.5333,98.91,39,0,12.66
77,Port-Cartier,CA,2022-03-10 11:21:00,50.0334,-66.8654,16.75,98,100,2.33
78,Oranjestad,AW,2022-03-10 11:21:00,12.524,-70.027,78.75,78,20,16.11
79,Albany,US,2022-03-10 11:15:15,42.6001,-73.9662,28.98,92,56,3.91
80,Jieshi,CN,2022-03-10 11:21:01,22.8134,115.8257,71.94,73,3,10.38
81,Amstelveen,NL,2022-03-10 11:21:01,52.3008,4.8639,57.02,53,0,9.22
82,Kapaa,US,2022-03-10 11:21:02,22.0752,-159.319,70.12,72,40,5.75
83,Grindavik,IS,2022-03-10 11:21:02,63.8424,-22.4338,43.27,93,75,18.41
84,Constitucion,CL,2022-03-10 11:21:03,-35.3333,-72.4167,54.82,61,0,6.96
85,Demba,CD,2022-03-10 11:21:03,-5.51,22.2667,88.56,46,100,4.85
86,Honningsvag,NO,2022-03-10 11:21:04,70.9821,25.9704,33.55,75,0,32.21
87,Kamaishi,JP,2022-03-10 11:14:53,39.2667,141.8833,38.14,76,6,4.74
88,Marsh Harbour,BS,2022-03-10 11:16:30,26.5412,-77.0636,74.07,85,1,14.83
89,Katsuura,JP,2022-03-10 11:22:05,35.1333,140.3,50.13,60,42,4.03
90,Surt,LY,2022-03-10 11:22:05,31.2089,16.5887,57.29,46,12,15.12
91,Barillas,GT,2022-03-10 11:18:13,15.8036,-91.3158,66.54,90,75,3.06
92,Ambon,ID,2022-03-10 11:22:06,-3.6954,128.1814,80.74,94,40,5.75
93,Kahului,US,2022-03-10 11:22:06,20.8947,-156.47,77.85,78,0,7.0
94,Trinidad,BO,2022-03-10 11:22:06,-14.8333,-64.9,76.98,94,75,3.44
95,Bireun,ID,2022-03-10 11:22:07,5.203,96.7009,82.36,76,78,1.72
96,Mitha Tiwana,PK,2022-03-10 11:22:07,32.2486,72.1108,85.05,21,30,8.52
97,Upernavik,GL,2022-03-10 11:22:08,72.7868,-56.1549,-7.44,95,100,7.05
98,Isangel,VU,2022-03-10 11:12:32,-19.55,169.2667,78.82,81,34,6.71
99,Maragogi,BR,2022-03-10 11:16:12,-9.0122,-35.2225,82.45,67,65,9.4
100,Marburg,DE,2022-03-10 11:22:09,50.8167,8.7667,55.6,44,0,6.89
101,Manta,EC,2022-03-10 11:20:52,-0.95,-80.7333,76.78,83,75,4.61
102,Okha,RU,2022-03-10 11:20:27,53.5739,142.9478,3.4,99,59,5.93
103,Camacupa,AO,2022-03-10 11:22:10,-12.0167,17.4833,78.75,60,99,2.17
104,Mumbwa,ZM,2022-03-10 11:22:10,-14.9783,27.0619,75.27,74,72,6.71
105,Senno,RU,2022-03-10 11:22:11,59.5336,33.9167,23.49,78,91,5.39
106,Ilave,PE,2022-03-10 11:22:11,-16.0833,-69.6667,44.83,86,100,2.15
107,Lata,PT,2022-03-10 11:22:11,40.1629,-8.3327,53.51,87,100,7.31
108,Nan,TH,2022-03-10 11:22:12,18.8333,100.6667,93.22,43,20,2.3
109,Boa Vista,BR,2022-03-10 11:22:12,2.8197,-60.6733,75.18,88,75,4.61
110,Cape Town,ZA,2022-03-10 11:19:21,-33.9258,18.4232,82.11,44,0,18.41
111,Houma,US,2022-03-10 11:19:52,29.5958,-90.7195,54.0,95,99,6.87
112,Sao Joao Da Barra,BR,2022-03-10 11:22:13,-21.6403,-41.0511,80.69,82,22,7.36
113,Matamoros,MX,2022-03-10 11:22:14,25.5333,-103.25,57.31,26,0,0.0
114,Humberto De Campos,BR,2022-03-10 11:22:14,-2.5983,-43.4611,79.36,89,100,6.06
115,Grand Gaube,MU,2022-03-10 11:22:15,-20.0064,57.6608,86.4,73,9,8.99
116,Te Anau,NZ,2022-03-10 11:17:47,-45.4167,167.7167,55.09,89,16,2.71
117,Cedral,MX,2022-03-10 11:22:16,23.8,-100.7333,52.56,23,61,5.57
118,Norwich,GB,2022-03-10 11:18:24,52.6278,1.2983,59.32,61,0,13.0
119,Saint-Augustin,CA,2022-03-10 11:22:16,51.226,-58.6502,3.96,98,94,3.71
120,Cabuyaro,CO,2022-03-10 11:22:17,4.2817,-72.794,75.36,66,73,2.37
121,Tuxpan,MX,2022-03-10 11:22:17,19.55,-103.4,52.7,47,58,2.33
122,Lucea,JM,2022-03-10 11:22:17,18.451,-78.1736,73.85,80,0,5.86
123,Aliganj,IN,2022-03-10 11:22:18,27.5,79.1833,88.77,21,22,11.65
124,Narsaq,GL,2022-03-10 11:22:18,60.9167,-46.05,5.22,68,0,5.75
125,Padang,ID,2022-03-10 11:22:19,-0.9492,100.3543,86.05,78,84,3.65
126,Tual,ID,2022-03-10 11:22:19,-5.6667,132.75,83.93,69,82,2.89
127,Chokwe,MZ,2022-03-10 11:22:20,-24.5333,32.9833,92.7,35,52,6.2
128,Mar Del Plata,AR,2022-03-10 11:19:45,-38.0023,-57.5575,63.09,74,0,0.0
129,Leningradskiy,RU,2022-03-10 11:15:09,69.3833,178.4167,7.02,78,7,9.13
130,Honiara,SB,2022-03-10 11:21:30,-9.4333,159.95,79.38,85,95,1.05
131,Nhulunbuy,AU,2022-03-10 11:17:32,-12.2333,136.7667,84.81,74,92,4.61
132,Roald,NO,2022-03-10 11:23:21,62.5833,6.1333,52.32,53,75,16.11
133,Victoria,HK,2022-03-10 11:20:04,22.2855,114.1577,73.18,63,6,11.01
134,Torbay,CA,2022-03-10 11:23:21,47.6666,-52.7314,24.58,84,100,4.61
135,Castro,BR,2022-03-10 11:23:22,-24.7911,-50.0119,66.43,95,99,2.91
136,Georgetown,MY,2022-03-10 11:17:43,5.4112,100.3354,85.95,71,20,4.61
137,Daye,CN,2022-03-10 11:23:22,30.0833,114.95,71.17,54,56,3.24
138,Axim,GH,2022-03-10 11:23:23,4.8699,-2.2405,86.65,68,100,8.34
139,Male,MV,2022-03-10 11:23:23,4.1748,73.5089,85.95,70,40,8.05
140,Kaitangata,NZ,2022-03-10 11:14:51,-46.2817,169.8464,56.23,98,87,6.64
141,Tuktoyaktuk,CA,2022-03-10 11:23:24,69.4541,-133.0374,-17.46,99,100,5.53
142,Hithadhoo,MV,2022-03-10 11:23:25,-0.6,73.0833,82.94,61,19,4.56
143,Shieli,KZ,2022-03-10 11:23:25,44.1667,66.75,54.52,35,100,9.01
144,Buzmeyin,TM,2022-03-10 11:23:25,38.0507,58.2056,67.73,49,75,4.61
145,Gat,IL,2022-03-10 11:16:21,31.61,34.7642,63.81,42,24,20.69
146,Slonim,BY,2022-03-10 11:23:26,53.0867,25.3219,28.31,32,1,10.8
147,Jimo,CN,2022-03-10 11:23:26,36.3897,120.4622,47.98,93,40,8.95
148,Xudat,AZ,2022-03-10 11:23:27,41.631,48.681,39.72,77,80,17.81
149,Port Elizabeth,ZA,2022-03-10 11:21:11,-33.918,25.5701,80.1,69,20,16.11
150,Khatanga,RU,2022-03-10 11:19:10,71.9667,102.5,-8.52,98,99,5.46
151,Kavieng,PG,2022-03-10 11:23:28,-2.5744,150.7967,82.13,74,90,5.46
152,Norman Wells,CA,2022-03-10 11:16:23,65.282,-126.8329,-20.16,76,75,3.44
153,Bielsk Podlaski,PL,2022-03-10 11:23:28,52.7651,23.1865,29.25,38,3,11.45
154,Doka,SD,2022-03-10 11:23:29,13.5167,35.7667,106.16,9,57,10.45
155,Ust-Tsilma,RU,2022-03-10 11:23:29,65.441,52.1498,15.73,83,78,9.19
156,Lebu,CL,2022-03-10 11:16:23,-37.6167,-73.65,54.64,79,2,19.95
157,Ippy,CF,2022-03-10 11:23:30,6.2679,21.2247,104.11,19,84,4.9
158,Gibraltar,GI,2022-03-10 11:23:30,36.1447,-5.3526,60.75,77,75,11.5
159,Pompton Lakes,US,2022-03-10 11:21:11,41.0054,-74.2907,33.53,95,0,1.01
160,Mabaruma,GY,2022-03-10 11:23:31,8.2,-59.7833,71.71,99,100,2.17
161,Thompson,CA,2022-03-10 11:17:35,55.7435,-97.8558,-9.24,77,100,3.44
162,Clyde River,CA,2022-03-10 11:23:31,70.4692,-68.5914,-18.17,76,0,5.75
163,Sinnamary,GF,2022-03-10 11:23:32,5.3833,-52.95,77.65,85,99,10.85
164,Sisimiut,GL,2022-03-10 11:23:32,66.9395,-53.6735,-8.91,98,98,3.33
165,Batemans Bay,AU,2022-03-10 11:23:33,-35.7167,150.1833,61.11,76,80,7.25
166,Taoudenni,ML,2022-03-10 11:17:47,22.6783,-3.9836,80.82,12,62,18.19
167,Camacha,PT,2022-03-10 11:13:47,33.0833,-16.3333,66.52,68,20,10.36
168,Apatity,RU,2022-03-10 11:23:33,67.5641,33.4031,24.84,93,99,8.16
169,Bengkulu,ID,2022-03-10 11:23:34,-3.8004,102.2655,79.83,82,99,3.22
170,Kirksville,US,2022-03-10 11:21:31,40.1948,-92.5833,21.15,74,100,12.66
171,Izmaylovo,RU,2022-03-10 11:23:34,53.7211,47.2458,16.9,88,100,15.79
172,Campoverde,PE,2022-03-10 11:23:35,-8.4753,-74.8058,73.09,99,99,1.59
173,Provideniya,RU,2022-03-10 11:23:35,64.3833,-173.3,11.53,66,0,14.7
174,Dalvik,IS,2022-03-10 11:23:35,65.9702,-18.5286,35.53,78,100,4.0
175,Bredasdorp,ZA,2022-03-10 11:23:36,-34.5322,20.0403,74.52,57,62,12.66
176,Srandakan,ID,2022-03-10 11:23:36,-7.9386,110.2506,79.2,85,67,3.8
177,Bluff,NZ,2022-03-10 11:19:13,-46.6,168.3333,60.8,94,53,1.14
178,Kaseda,JP,2022-03-10 11:24:37,31.4167,130.3167,57.78,61,82,4.34
179,Idil,TR,2022-03-10 11:24:37,37.3411,41.8895,53.53,62,75,4.61
180,Vaitape,PF,2022-03-10 11:24:38,-16.5167,-151.75,80.65,72,100,12.73
181,Ketchikan,US,2022-03-10 11:24:38,55.3422,-131.6461,39.18,75,100,6.91
182,Kolda,SN,2022-03-10 11:24:38,12.8833,-14.95,91.71,21,0,6.91
183,Turukhansk,RU,2022-03-10 11:24:39,65.8167,87.9833,-13.49,95,100,2.35
184,Kamenka,RU,2022-03-10 11:24:39,51.3223,42.7678,22.71,93,100,17.36
185,Ocos,GT,2022-03-10 11:17:46,14.5094,-92.1933,76.24,74,8,6.96
186,La Ronge,CA,2022-03-10 11:24:40,55.1001,-105.2842,10.65,79,100,18.41
187,Alofi,NU,2022-03-10 11:24:40,-19.0595,-169.9187,76.89,88,100,4.61
188,Simao,CN,2022-03-10 11:24:41,22.7886,100.9748,77.86,24,0,4.27
189,Mao,ES,2022-03-10 11:24:41,39.8885,4.2658,57.76,62,20,10.36
190,Mayumba,GA,2022-03-10 11:24:42,-3.432,10.6554,82.69,76,100,8.19
191,Karratha,AU,2022-03-10 11:24:42,-20.7377,116.8463,87.76,57,2,12.5
192,Carauari,BR,2022-03-10 11:24:42,-4.8828,-66.8958,70.86,96,99,2.06
193,Presidencia Roque Saenz Pena,AR,2022-03-10 11:24:43,-26.7852,-60.4388,71.65,100,100,14.97
194,Abu Dhabi,AE,2022-03-10 11:20:10,24.4667,54.3667,100.42,12,0,6.91
195,Bintulu,MY,2022-03-10 11:24:43,3.1667,113.0333,82.81,83,20,4.61
196,Kieta,PG,2022-03-10 11:17:44,-6.2167,155.6333,80.28,80,80,1.36
197,Goundam,ML,2022-03-10 11:24:44,16.4145,-3.6708,88.29,7,20,10.98
198,Bom Jardim,BR,2022-03-10 11:24:44,-7.7958,-35.5872,79.68,71,89,11.65
199,San Quintin,MX,2022-03-10 11:16:24,30.4833,-115.95,53.96,83,0,4.65
200,Taquaritinga Do Norte,BR,2022-03-10 11:24:45,-7.9031,-36.0442,75.42,66,84,9.15
201,Lodja,CD,2022-03-10 11:24:45,-3.4833,23.4333,90.86,49,99,0.65
202,Ewa Beach,US,2022-03-10 11:24:46,21.3156,-158.0072,73.69,81,40,5.75
203,Benguela,AO,2022-03-10 11:24:46,-12.5763,13.4055,83.26,69,41,10.0
204,Bolshevik,BY,2022-03-10 11:24:47,54.0065,27.5692,24.42,55,8,10.89
205,Beyneu,KZ,2022-03-10 11:24:47,45.3167,55.2,45.63,82,100,18.43
206,Lompoc,US,2022-03-10 11:19:55,34.6391,-120.4579,52.12,84,100,21.0
207,Nuuk,GL,2022-03-10 11:22:21,64.1835,-51.7216,-10.12,93,93,6.15
208,Sioux Lookout,CA,2022-03-10 11:24:48,50.1001,-91.917,-11.13,77,40,5.75
209,Samarai,PG,2022-03-10 11:24:48,-10.6167,150.6667,82.26,79,100,10.47
210,Adrar,MR,2022-03-10 11:24:49,20.5022,-10.0711,78.85,10,0,18.59
211,Airai,TL,2022-03-10 11:24:49,-8.9266,125.4092,62.11,97,91,1.99
212,Taltal,CL,2022-03-10 11:24:50,-25.4,-70.4833,65.68,84,37,2.1
213,Port Hawkesbury,CA,2022-03-10 11:24:50,45.6169,-61.3485,30.18,88,100,3.44
214,Valparaiso,CL,2022-03-10 11:24:51,-33.0393,-71.6273,61.48,62,0,8.12
215,Belmonte,BR,2022-03-10 11:24:51,-15.8631,-38.8828,78.69,81,13,3.85
216,Lunglei,IN,2022-03-10 11:24:52,22.8833,92.7333,84.33,17,7,3.65
217,Porto Velho,BR,2022-03-10 11:24:52,-8.7619,-63.9039,75.25,94,75,1.14
218,Maningrida,AU,2022-03-10 11:24:53,-12.0667,134.2667,82.53,73,74,6.91
219,Slavyanka,RU,2022-03-10 11:24:53,42.8633,131.3847,35.87,97,91,3.58
220,Thinadhoo,MV,2022-03-10 11:24:53,0.5333,72.9333,82.9,62,5,5.03
221,Talnakh,RU,2022-03-10 11:24:54,69.4865,88.3972,-21.8,99,84,5.17
222,Babati,TZ,2022-03-10 11:24:54,-4.2167,35.75,86.74,32,79,6.35
223,Rincon,US,2022-03-10 11:17:40,32.296,-81.2354,64.85,94,100,8.05
224,Porto Novo,BJ,2022-03-10 11:25:55,6.4965,2.6036,92.64,54,98,10.47
225,Mehamn,NO,2022-03-10 11:25:55,71.0357,27.8492,33.75,69,0,26.46
226,Fethiye,TR,2022-03-10 11:25:56,36.6217,29.1164,55.27,56,69,9.46
227,Bogande,BF,2022-03-10 11:25:56,12.9714,-0.1436,97.88,3,7,7.63
228,Lavrentiya,RU,2022-03-10 11:17:38,65.5833,-171.0,3.2,76,2,16.22
229,Bambous Virieux,MU,2022-03-10 11:25:57,-20.3428,57.7575,86.25,74,40,9.22
230,Superior,US,2022-03-10 11:25:57,46.7208,-92.1041,0.48,73,0,9.22
231,Pacific Grove,US,2022-03-10 11:25:58,36.6177,-121.9166,51.91,85,100,4.61
232,Sao Filipe,CV,2022-03-10 11:25:58,14.8961,-24.4956,71.24,67,11,13.65
233,Bollnas,SE,2022-03-10 11:25:58,61.3482,16.3946,41.04,67,93,12.64
234,Madimba,TZ,2022-03-10 11:25:59,-10.4,40.3333,81.05,85,100,8.68
235,Marathon,US,2022-03-10 11:25:59,44.9,-89.7668,6.33,62,0,8.05
236,Skjervoy,NO,2022-03-10 11:22:14,70.0311,20.9714,42.39,67,100,11.65
237,Dwarka,IN,2022-03-10 11:26:00,22.2394,68.9678,83.55,45,0,12.8
238,Sorong,ID,2022-03-10 11:26:00,-0.8833,131.25,82.47,77,90,8.93
239,Atar,MR,2022-03-10 11:19:23,20.5169,-13.0499,84.47,9,0,18.28
240,San Lorenzo De El Escorial,ES,2022-03-10 11:26:01,40.5914,-4.1474,53.26,72,77,7.99
241,Juba,SS,2022-03-10 11:26:01,4.8517,31.5825,102.72,16,100,4.72
242,Preston,GB,2022-03-10 11:26:02,53.7667,-2.7167,54.32,75,40,13.8
243,Sitka,US,2022-03-10 11:16:26,57.0531,-135.33,42.69,49,100,10.36
244,Port Hedland,AU,2022-03-10 11:26:03,-20.3167,118.5667,86.05,74,4,6.91
245,Entre Rios,BR,2022-03-10 11:26:03,-11.9419,-38.0844,79.99,73,100,4.52
